0,0
0.298181,0.0492148
3.85019,0.196685
6.2182,0.294998
9.47378,0.422793
12.1283,0.373385
12.7038,0.117328
14.4772,0.146753
19.8002,0.284259
21.8805,0.510601
27.2135,0.815503
30.4906,1.30763
32.59,1.85892
33.4887,2.07549
36.7309,1.97681
40.3079,2.54769
42.4143,3.21714
43.3164,3.49279
48.6372,3.59091
52.22,4.26026
54.8949,4.55549
59.3316,4.68321
61.1195,4.95881
61.7321,5.33295
65.2574,5.02746
67.0529,5.43107
69.1454,5.86419
72.0946,5.80492
73.267,5.65714
74.4853,6.28726
75.6339,5.73576
78.3378,6.52333
81.5591,6.07016
83.3685,6.71009
85.436,6.7198
88.9869,6.84758
91.0381,6.58158
93.1213,6.85715
95.4748,6.70929
97.8294,6.58113
98.9774,6.01978
100.492,6.66958
102.552,6.55128
105.512,6.6791
109.335,6.41298
113.484,6.66873
115.539,6.47165
117.024,6.60941
119.365,6.25477
122.611,6.21517
124.392,6.3726
131.754,6.03733
133.843,6.41137
134.71,6.09621
137.988,6.60804
141.531,6.58811
142.158,7.20842
144.809,7.10978
146.261,6.69611
150.691,6.70567
153.633,6.52823
153.894,5.9374
158.025,5.8879
159.778,5.57268
165.683,5.56245
168.651,5.81827
168.659,5.95613
171.913,6.06423
173.67,5.81794
174.833,5.50277
176.294,5.24665
178.357,5.17759
180.431,5.30546
184.575,5.47259
186.341,5.374
186.924,5.2558
188.694,5.2163
190.471,5.3048
192.229,5.08806
195.511,5.64911
196.049,4.76286
198.119,4.81196
200.465,4.53609
202.834,4.66395
206.373,4.58494
207.543,4.39777
209.898,4.27945
211.968,4.32855
213.121,3.84598
216.644,3.50111
218.141,3.8555
220.475,3.3827
222.539,3.32348
225.773,3.09679
228.715,2.9095
229.588,2.69282
231.962,2.89944
234.04,3.0864
238.178,3.15506
240.521,2.82011
243.474,2.81991
244.937,2.59334
246.118,2.59326
248.767,2.45523
252.018,2.50425
254.089,2.58289
258.516,2.53337
262.34,2.29679
264.388,1.97171
266.744,1.86324
268.231,2.04039
270.893,2.12883
272.966,2.21732
275.317,2.03007
277.682,2.07915
279.737,1.87223
282.98,1.79325
284.446,1.62575
286.52,1.74378
287.757,2.67915
289.482,1.90114
291.553,1.96008
293.606,1.72362
294.776,1.5463
297.423,1.36888
299.778,1.24072
